path,state,id,earliestTime,latestTime,modTime,sizeOnDiskMB,eventCount,hostCount,sourceCount,sourceTypeCount,rawSize
"/splunk/cold/enumops/colddb/rb_1362254760_1362254760_39_9F43C70F-698B-485D-BB13-3381203ECAED",cold,39,"03/02/2013:20:06:00","03/02/2013:20:06:00","03/12/2013:22:05:21","0.042969",1,1,1,1,321
"/splunk/cold/enumops/colddb/rb_1362254760_1362168389_40_13DAA08D-5DB8-43DB-A6DF-9013109E8433",cold,40,"03/01/2013:20:06:29","03/02/2013:20:06:00","03/12/2013:21:24:15","811.066406",3327862,23,105,9,1445832069
"/splunk/cold/enumops/colddb/rb_1362323160_1362252834_42_9F43C70F-698B-485D-BB13-3381203ECAED",cold,42,"03/02/2013:19:33:54","03/03/2013:15:06:00","03/12/2013:22:07:03","642.300781",2530042,25,104,8,1125112678
"/splunk/hot/enumops/db/db_1362254760_1362168361_42_B5F3145D-0C7E-4755-BA32-917392F1BF90",warm,42,"03/01/2013:20:06:01","03/02/2013:20:06:00","03/03/2013:20:06:45","824.300781",3394526,23,97,9,1477170787
"/splunk/cold/enumops/colddb/rb_1362254825_1362207962_42_D8995FA2-1999-4250-AA1F-74FEDC48D30A",cold,42,"03/02/2013:07:06:02","03/02/2013:20:07:05","03/12/2013:21:24:18","635.214844",2519482,24,94,7,1081013977
"/splunk/hot/enumops/db/db_1362341160_1362254761_43_B5F3145D-0C7E-4755-BA32-917392F1BF90",warm,43,"03/02/2013:20:06:01","03/03/2013:20:06:00","03/12/2013:21:22:19","825.382812",3328576,24,111,8,1472243280
"/splunk/cold/enumops/colddb/rb_1362385094_1362318068_44_D8995FA2-1999-4250-AA1F-74FEDC48D30A",cold,44,"03/03/2013:13:41:08","03/04/2013:08:18:14","03/12/2013:22:08:37","575.398438",2284875,23,95,8,1008362748
"/splunk/hot/enumops/db/db_1362409571_1362341161_45_B5F3145D-0C7E-4755-BA32-917392F1BF90",warm,45,"03/03/2013:20:06:01","03/04/2013:15:06:11","03/12/2013:21:22:21","736.910156",2982933,25,98,8,1324714464
"/splunk/cold/enumops/colddb/rb_1362427582_1362385095_45_D8995FA2-1999-4250-AA1F-74FEDC48D30A",cold,45,"03/04/2013:08:18:15","03/04/2013:20:06:22","03/12/2013:22:05:59","751.667969",3072462,23,77,6,1328145503
"/splunk/cold/enumops/colddb/rb_1362417424_1362386646_46_9F43C70F-698B-485D-BB13-3381203ECAED",cold,46,"03/04/2013:08:44:06","03/04/2013:17:17:04","03/12/2013:22:08:50","569.945312",2349891,24,54,7,1015188023
