earliestTime,eventCount,host,hostCount,id,latestTime,modTime,"orig_index",path,rawSize,sizeOnDiskMB,sourceCount,sourcetypeCount,state
"06/17/2013:22:26:25",0,"mon-prod-logidx-2",0,9,"06/25/2013:16:45:49","07/02/2013:23:26:43","windows_dc","/data/cold/windows_dc/colddb/rb_1372196749_1371525985_9_BC6A0D30-EA82-4E99-8A2D-CBE6BCD58995",0,"183.703125",0,,cold
"06/25/2013:05:13:36",10,"mon-prod-logidx-2",1,9,"06/25/2013:05:13:36","06/24/2013:19:04:01","windows_dc","/data/hot/windows_dc/db/db_1372155216_1372155216_9_3516763C-B78A-4885-8543-C9A1383A5392",1067,"0.027344",1,,warm
"07/05/2013:04:37:06",5913995,"mon-prod-logidx-2",65,98,"07/06/2013:12:00:03","07/06/2013:01:03:30","windows_dc","/data/cold/windows_dc/colddb/rb_1373130003_1373017026_98_517C52F3-B6E1-4968-B93A-E768F7E2EAB0",5029157025,"1117.566406",4,,cold
"07/04/2013:18:30:42",5869567,"mon-prod-logidx-2",65,97,"07/05/2013:19:26:47","07/05/2013:14:33:11","windows_dc","/data/cold/windows_dc/colddb/rb_1373070407_1372980642_97_517C52F3-B6E1-4968-B93A-E768F7E2EAB0",4944861006,"1109.984375",4,,cold
"07/04/2013:05:33:00",5822611,"mon-prod-logidx-2",65,96,"07/05/2013:09:29:51","07/05/2013:04:53:41","windows_dc","/data/cold/windows_dc/colddb/rb_1373034591_1372933980_96_517C52F3-B6E1-4968-B93A-E768F7E2EAB0",5012815093,"1116.527344",4,,cold
"07/04/2013:04:41:34",5067600,"mon-prod-logidx-2",65,95,"07/05/2013:01:32:25","07/04/2013:18:19:49","windows_dc","/data/cold/windows_dc/colddb/rb_1373005945_1372930894_95_517C52F3-B6E1-4968-B93A-E768F7E2EAB0",4318975335,"960.664062",4,,cold
"06/04/2013:11:23:31",0,"mon-prod-logidx-2",0,94,"07/05/2013:00:32:00","07/04/2013:14:22:45","windows_dc","/data/cold/windows_dc/colddb/rb_1373002320_1370363011_94_517C52F3-B6E1-4968-B93A-E768F7E2EAB0",0,"27.609375",0,,cold
"07/04/2013:14:36:50",0,"mon-prod-logidx-2",0,93,"07/04/2013:15:42:07","07/04/2013:14:22:45","windows_dc","/data/cold/windows_dc/colddb/rb_1372970527_1372966610_93_517C52F3-B6E1-4968-B93A-E768F7E2EAB0",0,"0.003906",0,,cold
"07/03/2013:15:57:43",0,"mon-prod-logidx-2",0,92,"07/04/2013:14:20:24","07/04/2013:14:22:48","windows_dc","/data/cold/windows_dc/colddb/rb_1372965624_1372885063_92_517C52F3-B6E1-4968-B93A-E768F7E2EAB0",0,"226.191406",0,,cold
"07/03/2013:13:37:58",0,"mon-prod-logidx-2",0,91,"07/04/2013:13:28:47","07/04/2013:14:22:45","windows_dc","/data/cold/windows_dc/colddb/rb_1372962527_1372876678_91_517C52F3-B6E1-4968-B93A-E768F7E2EAB0",0,"89.945312",0,,cold
"07/03/2013:12:03:01",330099,"mon-prod-logidx-2",65,90,"07/03/2013:21:25:05","07/03/2013:21:25:17","windows_dc","/data/cold/windows_dc/colddb/rb_1372904705_1372870981_90_517C52F3-B6E1-4968-B93A-E768F7E2EAB0",278115261,"64.566406",4,,cold
"06/18/2013:05:00:01",4438204,"mon-prod-logidx-2",63,8,"06/25/2013:12:44:47","06/25/2013:03:34:24","windows_dc","/data/cold/windows_dc/colddb/rb_1372182287_1371549601_8_BC6A0D30-EA82-4E99-8A2D-CBE6BCD58995",3818580835,"840.132812",4,,cold
"12/29/2012:09:17:21",0,"mon-prod-logidx-2",0,8,"02/28/2013:12:10:00","07/03/2013:16:02:01","windows_dc","/data/cold/windows_dc/colddb/rb_1362075000_1356794241_8_517C52F3-B6E1-4968-B93A-E768F7E2EAB0",0,"0.082031",0,,cold
"06/06/2013:22:36:50",2451548,"mon-prod-logidx-2",64,8,"06/26/2013:05:05:37","06/25/2013:13:37:40","windows_dc","/data/cold/windows_dc/colddb/rb_1372241137_1370576210_8_452F8B06-8FA3-427E-9E0C-FE992EC2C21B",2047301330,"462.109375",4,,cold
"03/26/2013:18:54:37",4356138,"mon-prod-logidx-2",63,8,"06/25/2013:04:34:34","06/24/2013:23:03:00","windows_dc","/data/hot/windows_dc/db/db_1372152874_1364342077_8_3516763C-B78A-4885-8543-C9A1383A5392",3911364059,"840.648438",4,,warm
"07/03/2013:10:07:57",0,"mon-prod-logidx-2",0,89,"07/04/2013:13:21:40","07/04/2013:14:22:09","windows_dc","/data/cold/windows_dc/colddb/rb_1372962100_1372864077_89_517C52F3-B6E1-4968-B93A-E768F7E2EAB0",0,"81.019531",0,,cold
"05/29/2013:17:38:46",8876,"mon-prod-logidx-2",1,88,"07/01/2013:18:34:52","07/03/2013:18:30:32","windows_dc","/data/cold/windows_dc/colddb/rb_1372721692_1369867126_88_517C52F3-B6E1-4968-B93A-E768F7E2EAB0",982980,"0.562500",1,,cold
"07/05/2013:22:00:42",6048858,"mon-prod-logidx-2",65,87,"07/07/2013:00:28:42","07/06/2013:16:48:22","windows_dc","/data/cold/windows_dc/colddb/rb_1373174922_1373079642_87_BC6A0D30-EA82-4E99-8A2D-CBE6BCD58995",5012986621,"1115.160156",4,,cold
"07/02/2013:16:26:03",1447632,"mon-prod-logidx-2",65,87,"07/04/2013:11:19:35","07/03/2013:18:30:49","windows_dc","/data/cold/windows_dc/colddb/rb_1372954775_1372800363_87_517C52F3-B6E1-4968-B93A-E768F7E2EAB0",1200316947,"272.753906",4,,cold
"07/05/2013:11:38:25",6018068,"mon-prod-logidx-2",65,86,"07/06/2013:14:26:52","07/06/2013:07:40:58","windows_dc","/data/cold/windows_dc/colddb/rb_1373138812_1373042305_86_BC6A0D30-EA82-4E99-8A2D-CBE6BCD58995",5038173794,"1118.535156",4,,cold
"07/03/2013:07:22:40",0,"mon-prod-logidx-2",0,86,"07/03/2013:16:02:35","07/03/2013:20:51:31","windows_dc","/data/cold/windows_dc/colddb/rb_1372885355_1372854160_86_517C52F3-B6E1-4968-B93A-E768F7E2EAB0",0,"3.328125",0,,cold
"07/05/2013:05:20:34",5250284,"mon-prod-logidx-2",65,85,"07/06/2013:06:37:23","07/05/2013:23:13:15","windows_dc","/data/cold/windows_dc/colddb/rb_1373110643_1373019634_85_BC6A0D30-EA82-4E99-8A2D-CBE6BCD58995",4499890498,"994.167969",4,,cold
"07/03/2013:07:12:44",260182,"mon-prod-logidx-2",65,85,"07/03/2013:16:00:03","07/03/2013:16:03:42","windows_dc","/data/cold/windows_dc/colddb/rb_1372885203_1372853564_85_517C52F3-B6E1-4968-B93A-E768F7E2EAB0",212185274,"52.449219",4,,cold
"07/04/2013:21:33:23",5830349,"mon-prod-logidx-2",65,84,"07/05/2013:20:42:19","07/05/2013:15:27:46","windows_dc","/data/cold/windows_dc/colddb/rb_1373074939_1372991603_84_BC6A0D30-EA82-4E99-8A2D-CBE6BCD58995",5023964583,"1116.402344",4,,cold
"05/23/2013:13:24:39",28219,"mon-prod-logidx-2",2,84,"07/01/2013:16:31:35","07/03/2013:15:40:58","windows_dc","/data/cold/windows_dc/colddb/rb_1372714295_1369333479_84_517C52F3-B6E1-4968-B93A-E768F7E2EAB0",2945155,"2.304688",1,,cold
"07/02/2013:13:24:32",2384447,"mon-prod-logidx-2",65,83,"07/04/2013:03:20:01","07/03/2013:15:48:30","windows_dc","/data/cold/windows_dc/colddb/rb_1372926001_1372789472_83_517C52F3-B6E1-4968-B93A-E768F7E2EAB0",2009644564,"456.222656",4,,cold
"07/04/2013:10:33:53",5827113,"mon-prod-logidx-2",65,82,"07/05/2013:14:06:25","07/05/2013:07:27:46","windows_dc","/data/cold/windows_dc/colddb/rb_1373051185_1372952033_82_BC6A0D30-EA82-4E99-8A2D-CBE6BCD58995",4975913942,"1111.507812",4,,cold
"07/03/2013:04:27:24",177235,"mon-prod-logidx-2",37,82,"07/03/2013:18:35:02","07/03/2013:12:48:31","windows_dc","/data/cold/windows_dc/colddb/rb_1372894502_1372843644_82_517C52F3-B6E1-4968-B93A-E768F7E2EAB0",187557463,"42.289062",4,,cold
